keywords,location,_link,id,_type
" Bovid, man",5ème diverticule Sud WAS,https://wasrap.mmsh.fr/s/wasrap/item/916,Loc551W9b3p0_2,Animal
" Bovid, man",5ème diverticule Sud WAS,https://wasrap.mmsh.fr/s/wasrap/item/916,Loc551W9b3p0_3,Animal
" Bovid, without man",5ème diverticule Sud WAS,https://wasrap.mmsh.fr/s/wasrap/item/917,Loc551W9b4p0_1,Animal
" Bovid, without man",5ème diverticule Sud WAS,https://wasrap.mmsh.fr/s/wasrap/item/917,Loc551W9b4p0_2,Animal
" Dog, without man",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/530,Loc560W9b0p0_1,Animal
" Dog, without man",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/530,Loc560W9b0p0_2,Animal
" Ibex, Ostrich, Dog, Undetermined quadruped, Bowman, man",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/932,McBW7b1p3_1,Animal
" Ibex, Ostrich, Dog, Undetermined quadruped, Bowman, man",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/932,McBW7b1p3_2,Animal
" Ibex, Ostrich, Dog, Undetermined quadruped, Bowman, man",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/932,McBW7b1p3_3,Animal
" Ibex, Ostrich, Dog, Undetermined quadruped, Bowman, man",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/932,McBW7b1p3_4,Animal
" Ibex, Ostrich, Dog, Undetermined quadruped, Bowman, man",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/932,McBW7b1p3_5,Animal
" Bowman Rider, Ibex, Ostrich, Giraffe, Dog, Undetermined quadruped, Bovid",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/933,McBW7b1p4_1,Animal
" Bowman Rider, Ibex, Ostrich, Giraffe, Dog, Undetermined quadruped, Bovid",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/933,McBW7b1p4_2,Animal
" Bowman Rider, Ibex, Ostrich, Giraffe, Dog, Undetermined quadruped, Bovid",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/933,McBW7b1p4_3,Animal
" Bowman Rider, Ibex, Ostrich, Giraffe, Dog, Undetermined quadruped, Bovid",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/933,McBW7b1p4_4,Animal
" Bowman Rider, Ibex, Ostrich, Giraffe, Dog, Undetermined quadruped, Bovid",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/933,McBW7b1p4_5,Animal
" Bowman Rider, Ibex, Ostrich, Giraffe, Dog, Undetermined quadruped, Bovid",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/933,McBW7b1p4_6,Animal
" Bowman Rider, Ibex, Ostrich, Giraffe, Dog, Undetermined quadruped, Bovid",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/933,McBW7b1p4_7,Animal
" Bowman Rider, Ibex, Ostrich, Giraffe, Dog, Undetermined quadruped, Bovid",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/933,McBW7b1p4_8,Animal
" Bowman Rider, Ibex, Ostrich, Giraffe, Dog, Undetermined quadruped, Bovid",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/933,McBW7b1p4_9,Animal
" Unidentifiable Figures",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/934,McBW7b1p5_1,Undetermined
" Ibex, Dog",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/935,McBW7b1p6_1,Animal
" Ibex, Dog",Lit majeur WAS amont,https://wasrap.mmsh.fr/s/wasrap/item/935,McBW7b1p6_2,Animal
